Code,Year,Return,Industry
890,2014,0.873902,金屬製品業
892,2014,0.464359,電信、廣播電視和衛星傳輸服務
893,2014,-0.068026,農副食品加工業
895,2014,-0.303316,農副食品加工業
897,2014,0.385321,房地產業
898,2014,0.932845,黑色金屬冶煉和壓延加工業
899,2014,0.356343,電力、熱力生產和供應業
900,2014,0.324961,道路運輸業
901,2014,1.744294,鐵路、船舶、航空航天和其他運輸設備製造業
902,2014,0.573999,化學原料和化學製品製造業
903,2014,0.461923,通用設備製造業
905,2014,1.044618,水上運輸業
906,2014,1.161228,批發業
908,2014,0.65896,通用設備製造業
909,2014,0.368151,綜合
910,2014,0.443004,木材加工和木、竹、籐、棕、草製品業
911,2014,0.363499,農副食品加工業
912,2014,0.45614,化學原料和化學製品製造業
913,2014,0.178295,鐵路、船舶、航空航天和其他運輸設備製造業
915,2014,-0.147561,醫藥製造業
916,2014,0.496801,道路運輸業
917,2014,0.037392,電信、廣播電視和衛星傳輸服務
918,2014,0.56115,房地產業
919,2014,0.496384,醫藥製造業
920,2014,0.981216,鐵路、船舶、航空航天和其他運輸設備製造業
921,2014,-0.283876,電氣機械和器材製造業
922,2014,1.039576,電氣機械和器材製造業
923,2014,0.649888,專用設備製造業
925,2014,0.893806,專用設備製造業
926,2014,0.557734,房地產業
927,2014,0.84637,汽車製造業
928,2014,0.660194,非金屬礦物製品業
929,2014,0.247684,酒、飲料和精製茶製造業
930,2014,0.869245,化學原料和化學製品製造業
931,2014,0.436208,建築安裝業
932,2014,1.020617,黑色金屬冶煉和壓延加工業
933,2014,0.245454,有色金屬冶煉和壓延加工業
935,2014,0.298025,非金屬礦物製品業
936,2014,0.661032,化學纖維製造業
937,2014,0.143707,煤炭開採和洗選業
938,2014,0.059281,計算機、通信和其他電子設備製造業
939,2014,0.823339,煤炭開採和洗選業
948,2014,0.759138,軟件和信息技術服務業
949,2014,0.548951,化學纖維製造業
950,2014,0.371134,化學原料和化學製品製造業
951,2014,0.847117,汽車製造業
952,2014,0.532959,醫藥製造業
953,2014,0.533333,化學原料和化學製品製造業
955,2014,0.43425,紡織業
957,2014,0.326679,汽車製造業
958,2014,1.656905,電力、熱力生產和供應業
959,2014,1.024391,黑色金屬冶煉和壓延加工業
960,2014,0.629213,有色金屬冶煉和壓延加工業
961,2014,0.984277,土木工程建築業
962,2014,0.17246,有色金屬冶煉和壓延加工業
963,2014,0.158929,零售業
965,2014,0.588256,房地產業
966,2014,0.909502,電力、熱力生產和供應業
967,2014,0.782345,電氣機械和器材製造業
968,2014,0.111711,石油加工、煉焦和核燃料加工業
969,2014,0.230208,金屬製品業
970,2014,0.162018,計算機、通信和其他電子設備製造業
971,2014,0.858195,紡織業
972,2014,0.398305,農副食品加工業
973,2014,0.551047,橡膠和塑料製品業
975,2014,0.837948,有色金屬礦採選業
976,2014,0.131737,化學纖維製造業
977,2014,0.823965,計算機、通信和其他電子設備製造業
978,2014,0.510569,公共設施管理業
979,2014,0.307471,房地產業
980,2014,0.406964,汽車製造業
981,2014,0.604851,房地產業
982,2014,-0.016015,紡織業
983,2014,0.159926,煤炭開採和洗選業
985,2014,0.517284,化學原料和化學製品製造業
987,2014,1.233447,零售業
988,2014,0.735077,計算機、通信和其他電子設備製造業
989,2014,0.339016,醫藥製造業
990,2014,0.753105,化學原料和化學製品製造業
993,2014,0.314368,電力、熱力生產和供應業
995,2014,0.590501,酒、飲料和精製茶製造業
996,2014,0.940299,批發業
997,2014,0.714926,軟件和信息技術服務業
998,2014,0.448337,農業
999,2014,-0.076645,醫藥製造業
1696,2014,0.705959,鐵路、船舶、航空航天和其他運輸設備製造業
1896,2014,0.601667,電力、熱力生產和供應業
2001,2014,0.209362,醫藥製造業
2002,2014,0.252413,化學原料和化學製品製造業
2003,2014,0.34098,紡織服裝、服飾業
2004,2014,0.162399,化學原料和化學製品製造業
2005,2014,0.001263,電氣機械和器材製造業
2006,2014,0.235876,專用設備製造業
2007,2014,0.178444,醫藥製造業
2008,2014,0.197908,專用設備製造業
2009,2014,0.301953,通用設備製造業
2010,2014,-0.071108,化學原料和化學製品製造業
2011,2014,0.08259,通用設備製造業
2012,2014,0.226236,造紙和紙製品業
2013,2014,0.592794,鐵路、船舶、航空航天和其他運輸設備製造業
2014,2014,0.008241,橡膠和塑料製品業
2015,2014,0.595825,紡織業
2016,2014,0.320011,房地產業
2017,2014,0.10452,計算機、通信和其他電子設備製造業
2018,2014,0.788806,化學原料和化學製品製造業
2019,2014,0.072249,醫藥製造業
2020,2014,0.183622,醫藥製造業
2021,2014,0.145425,專用設備製造業
2022,2014,0.273813,醫藥製造業
2023,2014,0.291474,鐵路、船舶、航空航天和其他運輸設備製造業
2024,2014,-0.003322,零售業
2025,2014,0.455976,計算機、通信和其他電子設備製造業
2026,2014,0.280882,金屬製品業
2027,2014,0.37218,計算機、通信和其他電子設備製造業
2028,2014,0.186885,電氣機械和器材製造業
2029,2014,0.163525,紡織服裝、服飾業
2030,2014,0.674115,醫藥製造業
2031,2014,0.638792,專用設備製造業
2032,2014,0.202772,金屬製品業
2033,2014,0.144142,公共設施管理業
2034,2014,0.270741,紡織業
2035,2014,0.20196,電氣機械和器材製造業
2036,2014,0.155784,紡織服裝、服飾業
2037,2014,0.627912,化學原料和化學製品製造業
2038,2014,-0.21299,醫藥製造業
2039,2014,1.05673,電力、熱力生產和供應業
2040,2014,0.818143,水上運輸業
2041,2014,-0.076041,農業
2042,2014,0.198037,紡織業
2043,2014,0.440439,木材加工和木、竹、籐、棕、草製品業
2044,2014,0.43915,紡織服裝、服飾業
2045,2014,0.229558,計算機、通信和其他電子設備製造業
2046,2014,0.628135,通用設備製造業
2047,2014,-0.152886,建築裝飾和其他建築業
2048,2014,0.713156,汽車製造業
2049,2014,-0.025947,計算機、通信和其他電子設備製造業
2050,2014,0.585657,通用設備製造業
2051,2014,0.632912,土木工程建築業
2052,2014,-0.280757,計算機、通信和其他電子設備製造業
2053,2014,1.105978,化學原料和化學製品製造業
2054,2014,0.285607,化學原料和化學製品製造業
2055,2014,0.089304,計算機、通信和其他電子設備製造業
2056,2014,0.417383,電氣機械和器材製造業
2057,2014,0.976971,化學原料和化學製品製造業
2058,2014,0.63814,儀器儀表製造業
2059,2014,0.427804,公共設施管理業
2060,2014,0.659215,土木工程建築業
2061,2014,0.130653,化學原料和化學製品製造業
2062,2014,0.813322,土木工程建築業
2063,2014,0.033438,軟件和信息技術服務業
2064,2014,0.181051,化學纖維製造業
2065,2014,0.064997,軟件和信息技術服務業
2066,2014,1.023857,非金屬礦物製品業
2067,2014,0.709678,造紙和紙製品業
2068,2014,1.025582,化學原料和化學製品製造業
2069,2014,-0.176173,漁業
2070,2014,0.731752,紡織業
2071,2014,-0.063768,金屬製品業
2072,2014,1.009009,紡織業
2073,2014,0.457256,專用設備製造業
2074,2014,1.529514,電氣機械和器材製造業
2075,2014,0.553399,黑色金屬冶煉和壓延加工業
2076,2014,0.35625,電氣機械和器材製造業
