CO_ID	CoName	Date	ROI
TEJN07 	Motors & Appliances	2015/01/09	   0.1185
TEJN08 	Wire         	2015/01/09	   0.3209
TEJN09 	Medicine     	2015/01/09	  -0.1302
TEJN10 	Medical supplies	2015/01/09	  -0.1884
TEJN11 	Other chemical	2015/01/09	   0.1294
TEJN12 	Glass ceramic	2015/01/09	  -0.6129
TEJN13 	Papermaking  	2015/01/09	   0.1289
TEJN14 	Steel        	2015/01/09	   0.3349
TEJN15 	Rubber       	2015/01/09	   0.3667
TEJN16 	Automobile   	2015/01/09	   0.4172
TEJN17 	Construction 	2015/01/09	   0.3442
TEJN18 	Ocean Air Trans.	2015/01/09	   2.1776
TEJN19 	Land transportation	2015/01/09	   1.0627
TEJN20 	Tourist catering	2015/01/09	   0.1112
TEJN21 	Stores and Trade	2015/01/09	  -0.2148
TEJN22 	Oil Gas and Elec.	2015/01/09	   0.0130
TEJN23 	Sports & Leisure	2015/01/09	   0.1570
TEJO99 	Other        	2015/01/09	   0.4498
TEJT01 	Personal computer	2015/01/09	  -0.3318
TEJT02 	Motherboard  	2015/01/09	  -0.0620
TEJT03 	PCB          	2015/01/09	   0.6270
TEJT04 	PCB materials	2015/01/09	   0.7960
TEJT05 	PC peripherals	2015/01/09	  -0.1930
TEJT06 	LED          	2015/01/09	   0.0118
TEJT07 	Solar        	2015/01/09	   0.5188
TEJT08 	Panel        	2015/01/09	  -1.3012
TEJT09 	Other optoelectronic	2015/01/09	   0.0106
TEJT10 	Connector    	2015/01/09	   0.1675
TEJT11 	Power Supply 	2015/01/09	   0.7230
TEJT12 	Cabinet      	2015/01/09	   1.3323
TEJT13 	Passive Components	2015/01/09	   0.1731
TEJT14 	Other Electronic C.	2015/01/09	   0.2173
TEJT15 	Netcom       	2015/01/09	   0.3587
TEJT16 	IC Manufacturing	2015/01/09	  -1.9719
TEJT17 	IC Design    	2015/01/09	   0.5181
TEJT18 	Electronic Equipment	2015/01/09	   0.3651
TEJT19 	Telecommunications	2015/01/09	   0.5890
TEJT20 	Information channel	2015/01/09	  -0.1263
TEJT21 	Consumer Electronics	2015/01/09	  -0.5666
TEJT22 	Software     	2015/01/09	  -0.1955
TEJF01 	Financial Inst.	2015/01/12	  -0.5463
TEJF02 	Insurance    	2015/01/12	  -0.3869
TEJF03 	Security and Trust	2015/01/12	  -1.3542
TEJN01 	Cement       	2015/01/12	  -1.4427
TEJN02 	Food         	2015/01/12	  -1.0083
TEJN03 	Plastic materials	2015/01/12	   0.6171
TEJN04 	Plastic Products	2015/01/12	  -0.0967
TEJN05 	Spinning     	2015/01/12	  -0.3130
TEJN06 	Machine Tools	2015/01/12	  -0.9287
TEJN07 	Motors & Appliances	2015/01/12	  -0.0606
TEJN08 	Wire         	2015/01/12	  -0.9410
TEJN09 	Medicine     	2015/01/12	   0.8816
TEJN10 	Medical supplies	2015/01/12	   0.0567
TEJN11 	Other chemical	2015/01/12	  -0.0410
TEJN12 	Glass ceramic	2015/01/12	  -1.2973
TEJN13 	Papermaking  	2015/01/12	   0.2399
TEJN14 	Steel        	2015/01/12	  -0.2793
TEJN15 	Rubber       	2015/01/12	  -0.5307
TEJN16 	Automobile   	2015/01/12	  -1.1761
TEJN17 	Construction 	2015/01/12	   0.3241
TEJN18 	Ocean Air Trans.	2015/01/12	  -0.9490
TEJN19 	Land transportation	2015/01/12	   0.2553
TEJN20 	Tourist catering	2015/01/12	   0.0092
TEJN21 	Stores and Trade	2015/01/12	  -0.4060
TEJN22 	Oil Gas and Elec.	2015/01/12	   0.3903
TEJN23 	Sports & Leisure	2015/01/12	   0.7598
TEJO99 	Other        	2015/01/12	  -0.2869
TEJT01 	Personal computer	2015/01/12	  -0.9962
TEJT02 	Motherboard  	2015/01/12	   0.0548
TEJT03 	PCB          	2015/01/12	  -0.4683
TEJT04 	PCB materials	2015/01/12	  -0.1070
TEJT05 	PC peripherals	2015/01/12	  -0.8743
TEJT06 	LED          	2015/01/12	   0.5836
TEJT07 	Solar        	2015/01/12	  -1.3457
TEJT08 	Panel        	2015/01/12	  -0.4892
TEJT09 	Other optoelectronic	2015/01/12	  -0.2404
TEJT10 	Connector    	2015/01/12	  -0.6132
TEJT11 	Power Supply 	2015/01/12	  -2.0165
TEJT12 	Cabinet      	2015/01/12	  -1.2405
TEJT13 	Passive Components	2015/01/12	  -0.8085
TEJT14 	Other Electronic C.	2015/01/12	  -0.8355
TEJT15 	Netcom       	2015/01/12	  -0.1970
TEJT16 	IC Manufacturing	2015/01/12	  -0.8760
TEJT17 	IC Design    	2015/01/12	  -0.2821
TEJT18 	Electronic Equipment	2015/01/12	  -1.9002
TEJT19 	Telecommunications	2015/01/12	   1.8209
TEJT20 	Information channel	2015/01/12	   0.4920
TEJT21 	Consumer Electronics	2015/01/12	  -0.8209
TEJT22 	Software     	2015/01/12	  -0.6387
TEJF01 	Financial Inst.	2015/01/13	   1.1078
TEJF02 	Insurance    	2015/01/13	   0.5238
TEJF03 	Security and Trust	2015/01/13	   0.6529
TEJN01 	Cement       	2015/01/13	   1.0516
TEJN02 	Food         	2015/01/13	   1.4309
TEJN03 	Plastic materials	2015/01/13	   1.0954
TEJN04 	Plastic Products	2015/01/13	   1.6639
TEJN05 	Spinning     	2015/01/13	   1.0545
TEJN06 	Machine Tools	2015/01/13	   0.5053
TEJN07 	Motors & Appliances	2015/01/13	   0.7840
TEJN08 	Wire         	2015/01/13	   0.4045
TEJN09 	Medicine     	2015/01/13	  -0.4575
TEJN10 	Medical supplies	2015/01/13	   0.3240
TEJN11 	Other chemical	2015/01/13	   0.6386
