Date	Close	Open	High	Low	Volume
2015-08-12	68.45	69.25	69.8	68.45	42743
2015-08-13	69.17	68.45	69.25	68.37	29946
2015-08-14	70.19	69.72	70.75	69.72	37359
2015-08-17	69.8	70.43	70.43	69.64	18499
2015-08-18	69.88	70.43	70.67	69.8	18300
2015-08-19	69.72	69.88	70.27	69.32	30057
2015-08-20	69.17	69.4	69.96	68.93	27616
2015-08-21	67.66	68.3	69.01	67.66	46004
2015-08-24	64.58	65.68	67.19	61.65	88531
2015-08-25	67.27	64.1	67.27	64.1	60830
2015-08-26	66.08	66.48	67.03	65.76	58576
2015-08-27	66.95	66.48	67.5	66.48	68806
2015-08-28	70.12	68.77	70.59	68.22	65098
2015-08-31	73.2	70.83	73.2	70.27	62543
2015-09-01	71.07	72.41	72.41	70.75	60905
2015-09-02	71.7	70.75	72.17	70.51	105710
2015-09-03	72.77	72.86	73.47	72.43	103079
2015-09-04	71.99	72.86	73.12	71.99	43336
2015-09-07	71.91	71.91	72.6	71.65	18975
2015-09-08	71.82	71.91	72.34	71.73	14478
2015-09-09	74.16	72.6	74.16	72.6	42327
2015-09-10	73.38	73.73	73.73	73.12	30898
2015-09-11	73.47	73.38	73.64	73.03	27669
2015-09-14	73.81	73.73	74.08	73.12	20557
2015-09-15	73.47	73.99	74.08	73.12	23573
2015-09-16	73.73	73.9	73.9	73.29	24894
2015-09-17	74.16	74.34	74.94	73.99	33680
2015-09-18	74.16	74.16	74.51	73.73	37019
2015-09-21	73.03	73.47	73.64	72.86	29324
2015-09-22	73.81	73.29	73.81	73.29	18616
2015-09-23	72.95	73.21	73.38	72.77	29795
2015-09-24	72.51	73.21	73.38	71.73	21977
2015-09-25	73.12	72.86	73.47	72.43	19030
2015-09-30	74.25	72.77	74.25	72.51	49123
2015-10-01	74.51	73.64	74.6	73.47	27903
2015-10-02	74.34	74.77	74.86	73.81	23535
2015-10-05	74.6	74.77	74.77	73.64	21821
2015-10-06	74.94	75.03	75.38	74.68	25192
2015-10-07	75.38	74.77	75.38	74.6	27500
2015-10-08	75.2	75.81	75.9	74.94	21720
2015-10-12	76.42	76.16	76.76	75.98	46199
2015-10-13	75.9	76.5	76.59	75.46	29718
2015-10-14	74.68	75.9	75.9	74.6	30642
2015-10-15	75.2	75.72	76.33	75.2	41667
2015-10-16	76.16	75.98	76.16	75.64	23105
2015-10-19	76.07	76.5	76.5	75.38	26008
2015-10-20	75.55	76.24	76.33	75.38	21951
2015-10-21	74.94	75.9	76.16	74.86	18577
2015-10-22	75.12	74.77	75.12	74.51	23161
2015-10-23	75.81	76.16	76.16	75.46	26950
2015-10-26	76.94	76.85	76.94	76.5	36416
2015-10-27	76.85	77.2	77.2	75.9	36848
2015-10-28	76.33	76.59	76.76	75.9	20203
2015-10-29	75.29	76.33	76.59	75.12	29809
2015-10-30	75.12	75.46	75.81	74.6	25674
2015-11-02	75.81	75.64	75.81	74.77	16294
2015-11-03	76.16	75.98	76.33	75.29	25996
2015-11-04	76.94	76.5	77.2	76.16	42234
2015-11-05	76.5	76.94	76.94	76.5	20265
2015-11-06	75.12	76.24	76.76	75.03	36227
2015-11-09	74.6	75.03	75.38	74.42	22494
2015-11-10	73.29	73.81	74.08	73.29	39128
2015-11-11	72.34	72.86	73.73	71.99	47016
2015-11-12	72.77	72.43	73.12	72.34	22272
2015-11-13	72.51	72.43	73.47	72.17	27333
2015-11-16	71.82	71.73	72.43	71.65	35694
2015-11-17	73.73	73.29	74.08	73.03	37553
2015-11-18	73.55	74.16	74.16	73.03	26482
2015-11-19	74.16	74.16	74.25	73.38	18369
2015-11-20	74.6	74.86	74.86	74.25	26810
2015-11-23	74.16	74.68	74.86	73.9	17479
2015-11-24	73.12	73.9	74.16	73.12	18971
2015-11-25	73.12	72.86	73.38	72.6	17383
2015-11-26	74.08	73.73	74.6	73.55	18798
2015-11-27	73.73	73.81	74.08	73.12	14448
2015-11-30	72.86	72.25	73.55	71.99	71528
2015-12-01	74.6	73.81	74.6	73.29	38201
2015-12-02	74.34	74.68	74.77	73.81	20895
2015-12-03	73.47	73.38	73.99	73.38	14450
2015-12-04	73.03	73.03	73.21	72.69	20520
2015-12-07	73.47	73.38	74.42	73.38	19528
2015-12-08	72.77	73.64	73.64	72.77	24909
2015-12-09	72.25	72.77	73.12	72.17	20179
2015-12-10	71.91	71.99	72.25	71.56	29670
2015-12-11	72.08	72.77	72.86	71.82	37343
2015-12-14	70.09	70.26	70.52	69.56	41451
2015-12-15	69.39	70.17	70.52	69.04	51309
2015-12-16	69.56	70.69	70.69	69.22	30970
2015-12-17	71.47	69.82	71.47	69.56	27078
2015-12-18	70.43	70.61	70.87	70.17	29887
2015-12-21	70.61	69.82	71.13	69.65	17792
2015-12-22	70.0	70.61	70.87	69.82	18412
2015-12-23	70.52	70.26	70.87	70.09	18028
2015-12-24	70.78	70.87	71.04	70.61	11630
2015-12-25	70.78	70.69	70.95	70.35	7989
2015-12-28	70.26	70.69	70.95	70.26	12508
2015-12-29	70.0	70.26	70.43	69.91	18037
2015-12-30	70.17	70.35	70.43	69.91	14245
2015-12-31	70.09	70.17	70.43	69.74	13764
2016-01-04	68.52	70.43	70.43	68.18	35223
2016-01-05	68.61	68.52	69.65	68.35	30125
2016-01-06	68.52	67.92	68.61	67.05	42557
2016-01-07	67.92	67.22	68.09	66.79	40523
2016-01-08	67.66	66.96	67.92	66.96	27621
2016-01-11	65.4	66.88	66.96	65.31	52037
2016-01-12	66.18	65.92	66.36	65.4	31183
2016-01-13	66.44	66.79	67.05	66.18	22765
2016-01-14	65.92	65.31	65.92	64.71	23289
2016-01-15	65.31	66.18	66.44	64.45	39925
2016-01-18	64.97	63.58	65.31	63.41	26696
2016-01-19	65.31	65.49	65.66	64.79	21056
2016-01-20	63.41	64.97	64.97	63.41	38245
2016-01-21	63.06	63.58	64.27	63.06	31464
2016-01-22	64.88	63.75	64.88	63.67	33147
2016-01-25	65.92	66.1	66.1	65.49	27076
2016-01-26	65.49	65.31	65.75	65.05	16786
2016-01-27	65.31	65.92	65.92	65.14	18326
2016-01-28	65.14	63.93	65.4	63.93	29878
2016-01-29	67.48	64.62	67.48	64.62	47980
2016-01-30	67.83	67.74	68.26	67.74	12962
2016-02-01	68.96	68.61	68.96	67.83	30157
2016-02-02	68.0	69.22	69.3	68.0	20296
2016-02-03	66.44	67.66	67.74	66.18	37096
2016-02-15	64.79	64.1	65.49	64.01	62766
2016-02-16	66.44	64.88	66.79	64.88	31952
2016-02-17	66.53	66.79	66.79	65.57	30568
2016-02-18	67.4	66.79	67.48	66.62	37357
2016-02-19	66.53	67.4	67.4	66.1	26453
2016-02-22	66.53	66.1	67.4	66.01	19170
2016-02-23	66.79	66.44	66.96	66.44	12491
2016-02-24	66.36	66.79	67.66	66.1	21319
2016-02-25	68.09	66.36	69.39	66.18	57174
2016-02-26	67.66	67.22	67.66	66.36	40829
2016-03-01	67.4	66.62	67.57	66.62	33626
2016-03-02	68.96	68.26	68.96	67.83	37017
2016-03-03	69.82	69.82	69.82	68.96	47911
2016-03-04	71.91	70.26	71.99	69.82	64064
2016-03-07	70.78	72.08	72.69	70.69	41415
2016-03-08	71.99	70.78	71.99	70.35	35495
2016-03-09	71.82	71.73	72.25	71.3	22545
2016-03-10	71.99	72.25	72.43	71.82	22369
2016-03-11	72.17	71.99	72.17	71.39	21411
2016-03-14	72.86	72.69	72.86	72.34	25702
2016-03-15	71.39	72.86	73.03	71.13	34133
2016-03-16	71.99	71.65	72.86	71.65	26268
2016-03-17	71.56	72.77	72.95	71.56	25510
2016-03-18	72.86	71.99	72.86	71.91	61108
2016-03-21	73.29	73.21	73.38	72.43	26058
2016-03-22	73.12	73.29	73.29	72.43	23500
2016-03-23	73.03	72.86	73.29	72.51	21765
2016-03-24	73.29	72.95	73.64	72.43	22310
2016-03-25	72.69	73.55	73.55	72.69	9545
2016-03-28	73.29	73.47	73.73	73.12	25892
2016-03-29	72.6	73.73	73.73	72.17	25066
2016-03-30	72.6	72.6	72.6	72.6	0
2016-03-31	73.55	74.68	75.29	72.86	82367
2016-04-01	71.99	72.95	73.38	71.99	32984
2016-04-06	70.43	72.17	72.17	70.43	42845
2016-04-07	70.69	70.26	71.04	69.65	27719
2016-04-08	71.04	70.35	71.04	70.17	19158
2016-04-11	70.43	70.95	71.04	70.0	11172
2016-04-12	71.13	70.95	71.65	70.43	15336
2016-04-13	72.6	71.39	72.69	71.39	34118
2016-04-14	71.47	71.99	72.69	71.47	23561
2016-04-15	71.91	71.3	72.17	70.87	18495
2016-04-18	71.65	72.17	72.17	71.56	14088
2016-04-19	70.69	71.82	72.25	70.43	18744
2016-04-20	68.7	70.35	71.47	68.7	51459
2016-04-21	69.65	69.22	69.82	68.96	20871
2016-04-22	70.26	70.35	70.35	69.65	17410
2016-04-25	69.65	70.35	70.61	69.56	14003
2016-04-26	69.56	69.39	70.43	69.39	18296
2016-04-27	68.96	69.3	69.56	68.78	25054
2016-04-28	68.18	69.39	69.56	68.18	30085
