Security Name,CoName,YY/MM/DD,Market Risk Premium,Size Factor (3 Factor),Book to Market Factor,Risk-free Interest Rate
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/17,   0.7963,  -0.1619,  -0.1131, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/18,   0.4205,   0.0936,  -0.0279, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/19,   0.1504,   0.4078,  -0.0505, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/22,  -1.2118,   0.9045,  -0.1371, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/23,  -0.5307,  -0.0637,   0.0225, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/24,   0.1417,  -0.2556,   0.4130, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/25,  -1.0144,  -0.2697,  -0.3918, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/26,  -0.2165,  -0.1446,  -0.4575, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/29,  -0.1678,   0.6220,  -0.0749, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/30,   0.0819,   0.0522,  -0.0040, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/01,   0.3907,   0.0802,  -0.3355, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/02,  -0.0613,   0.4554,   0.0200, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/03,   1.3185,  -0.5239,   0.0218, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/06,  -0.0420,   0.6816,  -0.2040, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/07,  -0.7522,   0.0114,   0.0575, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/08,  -1.0977,  -0.1668,   0.4826, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/09,  -0.2077,  -0.7552,  -0.2677, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/13,  -3.0792,  -0.3999,  -0.3891, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/14,   0.5469,  -0.6659,  -0.0288, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/15,  -1.2332,  -0.0354,  -0.6705, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/16,  -0.1760,  -0.6164,  -0.2505, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/17,  -1.4376,  -0.0984,  -0.2320, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/20,   1.7239,  -0.3259,  -0.0092, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/21,  -0.0275,   0.1778,   0.0714, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/22,   1.0964,  -0.5499,   0.3080, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/23,  -0.2859,  -0.4482,   0.3270, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/24,  -1.0071,   0.0550,  -0.1062, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/27,  -0.5934,  -2.1802,  -0.0655, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/28,   1.6195,  -0.5053,   0.4251, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/29,   1.6304,   0.2179,   0.0429, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/30,  -0.1701,   0.1581,   0.3954, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/10/31,   0.9991,  -0.1089,   0.0882, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/03,   0.5004,   0.4780,  -0.1645, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/04,  -0.1054,   0.1023,   0.1971, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/05,  -0.2928,   0.2780,   0.1553, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/06,  -0.9254,   0.1471,  -0.1388, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/07,   0.3558,   0.3639,   0.3418, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/10,   1.3949,  -0.9533,  -0.4695, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/11,  -0.1096,  -0.0348,  -0.2248, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/12,  -1.1923,   0.3310,   0.3990, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/13,   0.6422,  -0.4676,  -0.3968, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/14,   0.0117,   0.0130,   0.3174, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/17,  -1.1456,   0.2010,   0.1000, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/18,  -0.4834,  -0.8461,  -0.4519, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/11/19,   1.1783,  -0.6621,  -0.2437, 1.355
