YY/MM/DD	Market Risk Premium	Size Factor (3 Factor)	Book to Market Factor	Risk-free Interest Rate
2016-01-07	-1.7166	-0.7849	0.634	1.275
2016-01-08	0.5213	1.4468	-0.4632	1.275
2016-01-11	-1.3251	-0.0774	-0.6201	1.275
2016-01-12	-0.2381	-1.4216	0.5049	1.275
2016-01-13	0.7074	-0.0742	-0.6787	1.275
2016-01-14	-1.0474	-0.5813	0.1171	1.275
2016-01-15	0.2362	0.1744	-1.3688	1.275
2016-01-18	0.6109	1.5931	-0.2882	1.275
2016-01-19	0.5467	0.4179	-0.1337	1.275
2016-01-20	-1.9752	0.1376	0.6611	1.275
2016-01-21	-0.4648	0.5241	-0.2808	1.275
2016-01-22	1.1963	-0.6866	-0.3262	1.275
2016-01-25	1.7709	-0.4371	-0.0994	1.275
2016-01-26	-0.8256	0.5329999999999999	0.0993	1.275
2016-01-27	0.2615	-0.2871	-0.1374	1.205
2016-01-28	0.7075	-0.1237	0.3327	1.205
2016-01-29	2.2117	-1.5143	-0.3313	1.205
2016-01-30	0.7817	0.3295	0.1832	1.205
2016-02-01	0.1461	-0.3202	-0.254	1.205
2016-02-02	-0.3182	0.44299999999999995	0.2714	1.205
2016-02-03	-0.8385	0.6195	-0.5153	1.205
2016-02-15	0.0409	0.6634	0.0579	1.205
2016-02-16	1.8113	-0.6735	0.4142	1.205
2016-02-17	0.0011	0.5592	-0.6906	1.205
2016-02-18	1.2195	-0.3204	-0.6132	1.205
2016-02-19	0.1105	0.0386	0.0269	1.205
2016-02-22	0.0045	0.223	0.293	1.205
2016-02-23	0.0681	0.6693	0.3414	1.205
2016-02-24	-0.6282	-0.1664	0.5561	1.205
2016-02-25	1.011	-0.6735	-0.0125	1.205
2016-02-26	0.5386	0.2484	0.1128	1.205
2016-03-01	0.8817	-0.0493	-0.2086	1.205
2016-03-02	0.6888	-0.3167	0.282	1.205
2016-03-03	0.7858	-0.9184	0.8309	1.205
2016-03-04	0.3665	0.6114	0.3532	1.205
2016-03-07	0.1958	0.392	0.672	1.205
2016-03-08	0.0426	0.1501	0.5307	1.205
2016-03-09	-0.3538	0.4426	-0.9347	1.205
2016-03-10	0.2987	0.1947	-0.1325	1.205
2016-03-11	0.5201	-0.1774	0.0326	1.205
2016-03-14	0.4803	0.2493	-0.4257	1.205
2016-03-15	-1.5490000000000002	-0.3016	-1.0057	1.205
2016-03-16	1.0005	0.3998	0.1522	1.205
2016-03-17	0.4148	-1.0952	-0.2588	1.205
2016-03-18	0.8754	-0.2597	-0.5236	1.205
2016-03-21	0.0153	0.3581	0.0751	1.205
2016-03-22	-0.2898	-0.0777	0.4603	1.205
2016-03-23	-0.2294	0.1632	0.3491	1.205
2016-03-24	-0.2635	-0.1694	-0.0072	1.205
2016-03-25	-0.4451	0.379	0.1315	1.205
2016-03-28	-0.1785	-0.3692	-0.2467	1.205
2016-03-29	-0.8235	-0.7892	-0.3155	1.125
2016-03-30	1.3902	-0.267	-0.2597	1.125
2016-03-31	0.0877	0.0678	-0.4576	1.125
2016-04-01	-1.0007	1.1505	0.2671	1.125
2016-04-06	-1.703	1.1888	0.2957	1.125
2016-04-07	-0.2786	0.19399999999999998	-0.5793	1.125
2016-04-08	0.6039	-0.2304	-0.0724	1.125
2016-04-11	0.2485	-0.2974	-0.4255	1.125
2016-04-12	-0.3631	-0.8549	0.1396	1.125
2016-04-13	1.4128	-0.5506	-0.2157	1.125
2016-04-14	0.1814	0.1183	0.2314	1.125
2016-04-15	0.3667	-0.3014	-0.2395	1.125
2016-04-18	-0.3974	0.4929	-0.0833	1.125
2016-04-19	-0.3865	0.5249	-0.09699999999999999	1.125
2016-04-20	-1.3749	0.2292	0.6016	1.125
2016-04-21	0.6385	-0.1459	-0.5517	1.125
2016-04-22	-0.365	-0.6057	0.1272	1.125
2016-04-25	0.2911	-0.5534	-0.1096	1.125
2016-04-26	0.2409	0.3108	0.1021	1.125
2016-04-27	-0.2136	-0.1768	-0.1831	1.125
2016-04-28	-1.0515	0.4298	0.0982	1.125
2016-04-29	-1.1332	0.0286	0.6596	1.125
2016-05-03	-1.0079	0.2154	-0.0083	1.125
2016-05-04	-1.3267	0.4911	-0.5105	1.125
2016-05-05	-0.2287	0.9964	-0.6491	1.125
2016-05-06	-0.2507	0.2721	-0.32899999999999996	1.125
2016-05-09	-0.168	-0.602	0.1258	1.125
2016-05-10	0.2929	0.0905	-0.3572	1.125
2016-05-11	-0.2611	-0.2317	-0.1823	1.125
2016-05-12	-0.3295	-1.0573	0.3992	1.125
2016-05-13	-0.6749	-0.0255	-0.5178	1.125
2016-05-16	0.1404	0.0789	-0.4532	1.125
2016-05-17	0.9003	0.4258	-0.2748	1.125
2016-05-18	0.2412	-0.3391	-0.21899999999999997	1.125
2016-05-19	-0.7981	0.1922	0.2329	1.125
2016-05-20	0.4304	-0.0131	-0.1569	1.125
2016-05-23	2.622	-0.7938	-0.4166	1.125
2016-05-24	-0.5367	0.7562	-0.0527	1.125
2016-05-25	1.1434	-0.5475	-0.1412	1.125
2016-05-26	-0.0328	0.466	0.162	1.125
2016-05-27	0.8222	-0.4478	0.2462	1.125
2016-05-30	0.8399	-0.0703	-0.3038	1.125
