Date	Close	Open	High	Low	Volume	ROI
2015-03-26	35.01	34.59	35.42	34.59	121	0.9309
2015-03-27	35.33	34.78	35.33	34.68	162	0.9223
2015-03-30	35.42	35.42	35.47	35.14	144	0.2611
2015-03-31	34.96	35.47	35.47	34.73	148	-1.3021
2015-04-01	34.73	35.05	35.05	34.5	141	-0.6596
2015-04-02	34.59	34.73	34.82	34.59	70	-0.3984
2015-04-07	34.5	34.59	34.64	34.5	126	-0.2667
2015-04-08	34.31	34.5	34.59	34.22	190	-0.5348
2015-04-09	34.31	34.31	34.45	34.22	142	0.0
2015-04-10	34.31	34.54	34.54	34.22	62	0.0
2015-04-13	34.5	34.31	34.5	34.22	104	0.5376
2015-04-14	34.27	34.5	34.54	34.27	139	-0.6684
2015-04-15	33.85	34.27	34.31	33.85	273	-1.2113
2015-04-16	34.08	34.04	34.13	33.76	237	0.6812
2015-04-17	34.22	33.9	34.22	33.85	94	0.406
2015-04-20	33.99	34.22	34.31	33.71	207	-0.6739
2015-04-21	33.71	33.99	33.99	33.67	147	-0.8141
2015-04-22	33.67	33.71	33.71	33.58	104	-0.1368
2015-04-23	33.95	33.71	33.99	33.58	183	0.8219
2015-04-24	34.59	33.67	34.59	33.67	172	1.9022
2015-04-27	34.73	34.59	35.01	34.41	191	0.4
2015-04-28	35.05	34.68	35.05	34.68	164	0.9296
2015-04-29	35.42	35.14	35.42	34.91	330	1.0526
2015-04-30	35.56	35.51	35.56	35.42	251	0.3906
2015-05-04	35.1	35.61	35.61	35.1	83	-1.297
2015-05-05	35.7	35.01	35.7	34.96	162	1.7083
2015-05-06	35.61	35.51	35.61	35.33	1453	-0.2584
2015-05-07	35.65	35.7	35.7	35.51	88	0.1295
2015-05-08	35.61	35.65	35.65	35.38	111	-0.1294
2015-05-11	35.7	35.65	35.74	35.47	110	0.2591
2015-05-12	35.47	35.42	35.79	35.1	1127	-0.6459999999999999
2015-05-13	34.91	35.47	35.47	34.91	60	-1.5605
2015-05-14	34.91	34.87	35.1	34.73	90	0.0
2015-05-15	34.91	34.68	35.24	34.68	62	0.0
2015-05-18	34.73	34.91	34.96	34.68	74	-0.5284
2015-05-19	34.78	34.73	34.82	34.54	111	0.1328
2015-05-20	34.54	34.73	34.78	34.5	110	-0.6631
2015-05-21	34.04	34.41	34.54	33.95	178	-1.4686
2015-05-22	33.95	34.04	34.04	33.9	69	-0.271
2015-05-25	33.76	33.58	33.99	33.48	123	-0.5435
2015-05-26	33.9	33.67	33.9	33.12	54	0.4098
2015-05-27	34.59	33.95	34.78	33.81	124	2.0408
2015-05-28	34.59	34.59	34.59	34.22	89	0.0
2015-05-29	34.5	34.59	34.59	34.22	266	-0.2667
2015-06-01	34.78	34.5	34.82	34.5	49	0.8021
2015-06-02	34.54	34.64	34.78	34.54	69	-0.6631
2015-06-03	34.54	34.59	34.68	34.54	99	0.0
2015-06-04	34.54	34.59	34.78	34.45	177	0.0
2015-06-05	34.22	34.59	34.59	34.22	150	-0.9346
2015-06-08	34.22	34.22	34.36	33.76	186	0.0
2015-06-09	33.67	34.41	34.41	33.67	69	-1.6173
2015-06-10	33.81	33.81	34.08	33.71	68	0.41100000000000003
2015-06-11	33.67	34.04	34.04	33.58	187	-0.4093
2015-06-12	33.53	33.67	33.85	33.48	94	-0.41100000000000003
2015-06-15	33.67	33.48	33.81	33.44	57	0.4127
2015-06-16	33.48	33.85	33.85	33.44	124	-0.5479
2015-06-17	33.71	33.53	33.71	33.39	223	0.6887
2015-06-18	33.71	33.76	33.76	33.35	181	0.0
2015-06-22	33.48	33.71	33.71	33.48	89	-0.684
2015-06-23	33.44	33.48	33.71	33.44	172	-0.1377
2015-06-24	33.58	33.67	33.67	33.53	51	0.4138
2015-06-25	33.67	33.76	33.76	33.58	76	0.2747
2015-06-26	33.53	33.71	33.85	33.53	66	-0.41100000000000003
2015-06-29	33.39	33.53	33.58	33.39	74	-0.4127
2015-06-30	33.58	33.95	33.95	33.58	72	0.5525
2015-07-01	33.67	33.58	33.71	33.58	94	0.2747
2015-07-02	33.48	34.04	34.04	33.48	105	-0.5479
2015-07-03	33.3	33.58	33.58	33.3	101	-0.551
2015-07-06	32.47	33.35	33.39	32.47	211	-2.4931
2015-07-07	32.79	32.47	32.84	32.47	55	0.9943
2015-07-08	32.42	32.84	32.98	31.82	106	-1.1252
2015-07-09	32.47	32.75	32.75	32.19	70	0.1422
2015-07-13	32.47	32.47	32.56	32.42	71	0.0
2015-07-14	32.19	32.52	32.56	32.19	138	-0.8523
2015-07-15	31.82	32.28	32.28	31.64	146	-1.1461
2015-07-16	32.28	31.82	32.28	31.69	90	1.4493
2015-07-17	31.73	32.19	32.38	31.73	166	-1.7143
2015-07-20	31.73	31.82	32.01	31.64	54	0.0
2015-07-21	31.59	31.78	31.82	31.59	54	-0.436
2015-07-22	31.55	31.64	31.69	31.55	43	-0.146
2015-07-23	32.01	31.64	32.01	31.59	119	1.462
2015-07-24	31.73	31.87	31.87	31.69	88	-0.8646
2015-07-27	31.73	31.73	32.01	31.55	457	0.0
2015-07-28	31.69	31.73	32.28	31.5	638	-0.1453
2015-07-29	31.11	30.68	31.54	30.68	243	-1.7467
2015-07-30	31.78	31.02	32.16	30.68	134	2.1505
2015-07-31	31.45	32.59	32.59	31.06	96	-1.0526
2015-08-03	30.97	31.45	31.45	30.73	96	-1.5198
2015-08-04	30.87	30.97	30.97	30.83	474	-0.3086
2015-08-05	30.97	30.87	31.16	30.87	104	0.3096
2015-08-06	31.26	31.16	31.92	31.11	99	0.9259
2015-08-07	31.45	31.35	31.64	31.35	79	0.6116
2015-08-10	31.64	31.54	31.88	31.3	184	0.6079
2015-08-11	31.06	31.64	31.64	30.97	159	-1.8127
2015-08-12	31.92	31.35	32.5	31.21	152	2.7692
2015-08-13	32.74	33.41	33.41	31.97	251	2.5449
2015-08-14	33.12	32.78	33.41	32.78	178	1.1679
2015-08-17	33.07	33.12	33.36	33.02	118	-0.1443
2015-08-18	33.88	34.07	34.07	33.12	196	2.4566
2015-08-19	33.55	33.88	33.93	33.45	231	-0.9873
2015-08-20	33.6	33.55	33.79	33.55	134	0.1425
2015-08-21	33.88	33.6	33.93	33.45	266	0.8535
2015-08-24	32.98	34.36	34.36	31.26	556	-2.6798
2015-08-25	32.21	32.5	32.93	32.02	226	-2.3188
2015-08-26	31.69	32.21	32.21	31.64	160	-1.632
2015-08-27	31.64	31.69	32.26	31.64	185	-0.1508
2015-08-28	31.69	31.83	32.64	31.64	182	0.1511
2015-08-31	31.69	31.83	31.83	31.3	148	0.0
2015-09-01	32.31	31.69	32.98	31.69	798	1.9608
2015-09-02	32.4	32.31	32.4	32.16	40	0.2959
2015-09-03	32.4	32.5	32.5	31.97	48	0.0
2015-09-04	32.07	32.93	33.07	32.02	126	-1.0324
2015-09-07	32.07	32.07	32.07	31.83	34	0.0
2015-09-08	32.02	32.02	32.07	31.78	84	-0.149
2015-09-09	32.35	32.12	32.45	32.12	71	1.0448
2015-09-10	32.98	32.16	33.45	32.02	138	1.9202
2015-09-11	32.4	32.98	32.98	31.64	132	-1.7391
2015-09-14	32.12	32.59	32.59	31.83	80	-0.885
2015-09-15	32.02	32.12	32.16	31.92	98	-0.2976
2015-09-16	32.12	32.31	32.31	31.97	75	0.2985
2015-09-17	32.12	32.4	32.59	32.12	352	0.0
2015-09-18	29.44	32.12	32.31	29.44	4695	-8.3333
2015-09-21	30.73	30.16	31.02	30.01	628	4.3831
2015-09-22	30.83	30.39	30.92	30.39	220	0.311
2015-09-23	30.3	30.44	30.68	30.3	187	-1.7054
2015-09-24	30.01	30.63	30.63	30.01	235	-0.9464
2015-09-25	30.39	30.11	30.39	30.11	79	1.2739
2015-09-30	29.96	30.16	30.16	29.92	193	-1.4151
2015-10-01	30.3	29.96	30.49	29.96	87	1.1164
2015-10-02	30.2	30.39	30.54	30.2	95	-0.3155
2015-10-05	30.3	30.25	30.59	30.25	66	0.3165
